2025-10-06 22:01:35 | Device: Temp_Sensor_1 | Temperature: 36.3°C
2025-10-06 22:01:38 | Device: Temp_Sensor_2 | Temperature: 36.4°C
2025-10-06 22:01:41 | Device: Temp_Sensor_1 | Temperature: 36.5°C
2025-10-06 22:01:44 | Device: Temp_Sensor_2 | Temperature: 36.1°C
2025-10-06 22:01:47 | Device: Temp_Sensor_1 | Temperature: 36.6°C
2025-10-06 22:01:50 | Device: Temp_Sensor_2 | Temperature: 37.3°C
2025-10-06 22:01:53 | Device: Temp_Sensor_1 | Temperature: 36.9°C
2025-10-06 22:01:56 | Device: Temp_Sensor_2 | Temperature: 38.1°C
2025-10-06 22:01:59 | Device: Temp_Sensor_1 | Temperature: 36.1°C
2025-10-06 22:02:02 | Device: Temp_Sensor_2 | Temperature: 38.2°C
2025-10-06 22:02:05 | Device: Temp_Sensor_1 | Temperature: 38.5°C
2025-10-06 22:02:08 | Device: Temp_Sensor_2 | Temperature: 37.8°C
2025-10-06 22:02:11 | Device: Temp_Sensor_1 | Temperature: 36.9°C
2025-10-06 22:02:14 | Device: Temp_Sensor_2 | Temperature: 37.9°C
2025-10-06 22:02:17 | Device: Temp_Sensor_1 | Temperature: 38.2°C
2025-10-06 22:02:20 | Device: Temp_Sensor_2 | Temperature: 37.8°C
2025-10-06 22:02:23 | Device: Temp_Sensor_1 | Temperature: 36.5°C
2025-10-06 22:02:26 | Device: Temp_Sensor_2 | Temperature: 36.5°C
2025-10-06 22:02:29 | Device: Temp_Sensor_1 | Temperature: 37.5°C
2025-10-06 22:02:32 | Device: Temp_Sensor_2 | Temperature: 37.0°C
2025-10-06 22:02:35 | Device: Temp_Sensor_1 | Temperature: 36.1°C
2025-10-06 22:02:38 | Device: Temp_Sensor_2 | Temperature: 38.5°C
2025-10-06 22:02:41 | Device: Temp_Sensor_1 | Temperature: 37.1°C
2025-10-06 22:02:44 | Device: Temp_Sensor_2 | Temperature: 37.8°C
2025-10-06 22:02:47 | Device: Temp_Sensor_1 | Temperature: 36.5°C
2025-10-06 22:02:50 | Device: Temp_Sensor_2 | Temperature: 37.8°C
2025-10-06 22:02:53 | Device: Temp_Sensor_1 | Temperature: 37.0°C
2025-10-06 22:02:56 | Device: Temp_Sensor_2 | Temperature: 38.4°C
2025-10-06 22:02:59 | Device: Temp_Sensor_1 | Temperature: 38.2°C
2025-10-06 22:03:02 | Device: Temp_Sensor_2 | Temperature: 38.1°C
2025-10-06 22:03:05 | Device: Temp_Sensor_1 | Temperature: 36.2°C
2025-10-06 22:03:08 | Device: Temp_Sensor_2 | Temperature: 36.6°C
2025-10-06 22:03:11 | Device: Temp_Sensor_1 | Temperature: 38.1°C
2025-10-06 22:03:14 | Device: Temp_Sensor_2 | Temperature: 36.9°C
2025-10-06 22:03:17 | Device: Temp_Sensor_1 | Temperature: 37.7°C
2025-10-06 22:03:20 | Device: Temp_Sensor_2 | Temperature: 37.3°C
2025-10-06 22:03:23 | Device: Temp_Sensor_1 | Temperature: 37.2°C
2025-10-06 22:03:26 | Device: Temp_Sensor_2 | Temperature: 36.8°C
2025-10-06 22:03:29 | Device: Temp_Sensor_1 | Temperature: 38.4°C
2025-10-06 22:03:32 | Device: Temp_Sensor_2 | Temperature: 37.0°C
2025-10-06 22:03:35 | Device: Temp_Sensor_1 | Temperature: 37.5°C
2025-10-06 22:03:38 | Device: Temp_Sensor_2 | Temperature: 37.2°C
2025-10-06 22:03:41 | Device: Temp_Sensor_1 | Temperature: 38.0°C
2025-10-06 22:03:44 | Device: Temp_Sensor_2 | Temperature: 37.3°C
2025-10-06 22:03:47 | Device: Temp_Sensor_1 | Temperature: 36.5°C
2025-10-06 22:03:50 | Device: Temp_Sensor_2 | Temperature: 37.1°C
2025-10-06 22:03:53 | Device: Temp_Sensor_1 | Temperature: 37.7°C
2025-10-06 22:03:56 | Device: Temp_Sensor_2 | Temperature: 36.2°C
